,Country Name,Country Code,region,sub-region,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,Afghanistan,AFG,Asia,Southern Asia,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,943.116264973781,970.645114676507,971.811023482828,1075.67137317936,1120.89312847686,1287.06440027539,1336.21033898238,1575.31677908968,1771.19798501195,1749.93699491677,1958.44762747924,2062.05917625276,2110.82956797747,2128.12593822669,2023.83465629732,2096.09311055337,2109.92929586357,2167.70411054404,2076.13838003855,1665.80584219752
1,Albania,ALB,Europe,Southern Europe,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2549.74680052103,1909.31915995857,1823.5036094765,2057.6920475362,2290.14391682223,2666.08195137438,2980.41887081088,2717.68470080045,3021.17960396358,3471.64661643634,3861.33300611406,4300.22273491517,4661.40269532788,5000.29565068603,5427.76712861162,5865.29135442867,6565.63337421329,7284.16653783604,8228.35457586499,8813.51676007141,9628.64011247685,10207.7594552245,10526.2501064206,10570.9660445504,11259.3036811774,11658.8948969978,12078.7993344718,12770.9878616071,13498.1961186448,14407.4607488686,14035.3547801451,15814.4115712467
2,Algeria,DZA,Africa,Northern Africa,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6974.07637933505,6955.54482666039,7075.76023103809,6934.26030034942,6872.2093018629,7144.57349950824,7441.30153966296,7525.30567785633,7878.20657864769,8130.38787177924,8510.35927878826,8840.67416524156,9354.22172473625,10088.0867693187,10653.3430330799,11478.0280503093,11861.1660558485,12392.5059186266,12714.1616552994,12768.9937191152,13141.1202583704,13543.5987190283,13347.3627953184,13104.7371038263,13058.1245739587,12071.8141810043,11685.4514179182,11809.4830333846,12006.0102379705,12118.0045004936,11438.6911555723,12128.2749912629
3,American Samoa,ASM,Oceania,Polynesia,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Andorra,AND,Europe,Southern Europe,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Angola,AGO,Africa,Sub-Saharan Africa,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3268.78223552171,3301.17771377206,3077.65404737687,2320.44811826489,2326.13980771179,2642.76978093229,2955.57664524476,3119.45485989551,3196.01401477475,3206.60981126417,3271.55261383737,3373.30001168747,3766.31357170899,3822.74576943579,4205.12755217524,4814.47703716865,5340.92783307274,6030.23514825828,6586.1240181971,6442.92425427364,6586.59651396355,6700.11409977804,7389.31496018756,7643.9219442902,8123.04806537777,7274.09047477931,7027.14663413223,7216.06137266999,7042.92382920461,6881.07624117546,6362.63607638387,6491.12557839236
6,Antigua and Barbuda,ATG,Americas,Latin America and the Caribbean,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11436.0169720724,12021.9972500658,12241.2348799217,12957.5678456873,13857.2953769191,13268.7596684407,14115.1662418244,14842.2602511211,15426.1417229866,15949.0434353505,17037.3808751235,16375.8133886858,16588.607512675,17741.6586743048,19057.1694874149,20684.0318578389,23727.1192138152,26274.2613954095,26377.1557538872,23015.8744378379,21175.3833088773,20939.3312746697,20208.9392876727,19437.6169691726,19748.6253844293,19674.5632961557,20790.4191719618,20777.8740340316,22612.8818128129,24007.8684845165,19276.5688116667,21010.0035741979
7,Argentina,ARG,Americas,Latin America and the Caribbean,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7183.58382562643,7990.18800352353,8699.39508000729,9506.50543115127,10138.6816541837,9925.12989526904,10531.8458193995,11444.4740607451,11880.4806279761,11506.6988843989,11542.9860028113,11159.3299223816,9990.72022161809,10974.3241728286,12162.3374741639,13513.6702919661,14896.7335378162,16510.4482429226,17336.9328242167,16249.730130137,18063.9143432506,19322.2271236942,19641.3528638347,20131.6804246983,19683.7715056442,20105.1989918165,20307.870052142,23597.117752839,23290.6757386443,23003.2771805423,20763.2885528852,23649.670296221
8,Armenia,ARM,Asia,Western Asia,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2756.57332354643,2473.87354790732,1490.35193668474,1438.58850813848,1587.04298834687,1758.67355702797,1909.64268102564,2023.94715018545,2217.0578535948,2347.50209987159,2572.4208203298,2915.45578555773,3382.06032385789,3958.32998572176,4518.26274645491,5339.90170201023,6274.02820664947,7380.23153964858,8097.3050071749,7045.33072468128,7331.38650353822,7881.77173468477,9267.39700562965,9822.94744066856,10114.93983675,10132.318975243,10966.8533270074,12509.6396064818,13547.5313985863,14921.8193191784,14089.2393754604,15592.4873567251
9,Aruba,ABW,Americas,Latin America and the Caribbean,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20753.5276476148,22429.2894439746,23484.2682590847,25024.8276202404,26786.1459486344,27192.7074960316,27183.8527304627,28718.5574188519,28743.5090623207,28656.0961995796,30746.6527453748,32184.2193022105,31988.303072648,32657.892379743,35653.5376737516,36264.4353728603,37365.0551941654,39080.4660076304,40059.8571454295,35169.7853529421,34230.3250904912,35780.2497425213,34786.5939932063,36932.1841636111,36846.8482853085,37343.9129633145,37583.8403229292,38865.188195117,41679.2381900445,42501.6415538621,34971.0099128273,42698.3598724311
